Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
South Korea,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018,410,-0.447,0.164,-0.914,-0.484,-0.027,-0.774,-0.617
South Korea,47,5.984,1.2446,0.9577,0.9654,0.3321,0.1856,0.0786,2015,410,-0.456,-0.074,-0.913,-0.297,0.032,-0.651,-0.289
South Korea,57,5.835,1.3595,0.7219,0.8864,0.2517,0.1882,0.0772,2016,410,-0.406,-0.302,-0.92,-0.467,0.046,-0.657,0.027
South Korea,55,5.838,1.4017,1.1283,0.9002,0.2579,0.2067,0.0633,2017,410,-0.387,0.091,-0.919,-0.454,0.149,-0.719,-0.759
Japan,62,5.8708,10.5797,0.8835,75.001,0.81,-0.2469,0.6546,2020,392,3.625,-0.146,5.783,0.715,-2.373,1.906,-140.266
Japan,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,392,-0.42,0.372,-0.902,-0.058,-0.616,-0.378,-1.594
Japan,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018,392,-0.434,0.413,-0.911,0.171,-0.561,-0.334,-1.628
Japan,46,5.987,1.2707,1.2571,0.9911,0.4962,0.107,0.1806,2015,392,-0.444,0.215,-0.91,0.05,-0.405,-0.198,-1.184
Japan,53,5.921,1.3801,1.0605,0.9149,0.4676,0.1022,0.1898,2016,392,-0.397,0.025,-0.917,-0.01,-0.432,-0.157,-0.938
Japan,51,5.92,1.4169,1.4363,0.9135,0.5056,0.1206,0.1638,2017,392,-0.381,0.388,-0.917,0.07,-0.329,-0.273,-1.674
Peru,63,5.7968,9.4563,0.8311,68.1002,0.8248,-0.1624,0.8937,2020,604,3.134,-0.197,5.159,0.746,-1.903,2.968,-127.443
Peru,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019,604,-0.58,0.231,-0.923,-0.037,-0.539,-0.88,-0.391
Peru,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2018,604,-0.592,0.207,-0.939,0.122,-0.488,-0.849,-0.192
Peru,58,5.824,0.9002,0.9746,0.7302,0.415,0.1498,0.0599,2015,604,-0.606,-0.058,-0.934,-0.122,-0.167,-0.734,0.441
Peru,64,5.743,0.996,0.8126,0.6299,0.375,0.1453,0.0529,2016,604,-0.565,-0.215,-0.943,-0.206,-0.192,-0.765,0.723
Peru,63,5.715,1.0352,1.2188,0.6302,0.45,0.1268,0.047,2017,604,-0.547,0.178,-0.943,-0.047,-0.295,-0.791,-0.132
Serbia,64,5.7782,9.681,0.8815,68.2102,0.7265,-0.0737,0.8435,2020,688,3.232,-0.148,5.169,0.538,-1.41,2.745,-128.003
Serbia,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019,688,-0.561,0.337,-0.923,-0.403,-0.238,-0.827,-0.562
Serbia,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043,2018,688,-0.574,0.323,-0.938,-0.39,-0.255,-0.809,-0.425
Serbia,87,5.123,0.9205,1.0096,0.7484,0.2011,0.1923,0.0262,2015,688,-0.598,-0.024,-0.932,-0.574,0.069,-0.884,-0.041
Serbia,86,5.177,1.0344,0.8133,0.6458,0.1572,0.2074,0.0434,2016,688,-0.548,-0.214,-0.942,-0.667,0.153,-0.807,0.341
Serbia,73,5.395,1.0693,1.2582,0.6508,0.2087,0.2201,0.0409,2017,688,-0.533,0.216,-0.941,-0.558,0.224,-0.818,-0.352
Bolivia,65,5.7475,8.8511,0.8031,63.6005,0.8759,-0.0917,0.8226,2020,68,2.869,-0.224,4.752,0.854,-1.51,2.652,-119.022
Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019,68,-0.661,0.169,-0.936,0.082,-0.238,-0.716,0.107
Bolivia,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018,68,-0.672,0.182,-0.954,0.283,-0.216,-0.76,0.28
Bolivia,51,5.89,0.6813,0.9784,0.5392,0.5741,0.2054,0.088,2015,68,-0.702,-0.054,-0.951,0.215,0.142,-0.609,0.779
Bolivia,59,5.822,0.7942,0.8378,0.4697,0.5096,0.217,0.0775,2016,68,-0.653,-0.19,-0.958,0.079,0.207,-0.656,0.979
Bolivia,58,5.823,0.8338,1.2276,0.4736,0.5587,0.2256,0.0605,2017,68,-0.635,0.187,-0.957,0.183,0.254,-0.731,0.19
Pakistan,66,5.6933,8.4827,0.6891,58.2531,0.7348,0.0449,0.7457,2020,586,2.708,-0.334,4.268,0.555,-0.75,2.311,-109.224
Pakistan,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019,586,-0.704,-0.144,-0.952,-0.337,0.223,-0.565,1.105
Pakistan,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2018,586,-0.715,-0.217,-0.962,-0.293,0.201,-0.498,1.224
Pakistan,81,5.194,0.5954,0.4141,0.5147,0.121,0.3367,0.1046,2015,586,-0.74,-0.6,-0.953,-0.744,0.872,-0.536,1.716
Pakistan,92,5.132,0.6882,0.2614,0.4031,0.1462,0.3118,0.1388,2016,586,-0.699,-0.747,-0.964,-0.691,0.734,-0.384,1.883
Pakistan,80,5.269,0.7269,0.6727,0.402,0.2352,0.3154,0.1243,2017,586,-0.682,-0.35,-0.964,-0.502,0.754,-0.448,1.142
Paraguay,67,5.6921,9.39,0.8987,65.6399,0.8859,0.008,0.8348,2020,600,3.105,-0.131,4.936,0.875,-0.956,2.706,-123.737
Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019,600,-0.626,0.426,-0.93,0.088,0.023,-0.645,-0.732
Paraguay,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2018,600,-0.635,0.471,-0.944,0.145,-0.099,-0.671,-0.567
Paraguay,53,5.878,0.7598,1.3048,0.661,0.539,0.3424,0.0824,2015,600,-0.668,0.261,-0.94,0.141,0.904,-0.634,-0.271
Paraguay,70,5.538,0.8937,1.1111,0.583,0.4624,0.253,0.074,2016,600,-0.609,0.074,-0.947,-0.021,0.407,-0.671,-0.091
Paraguay,70,5.493,0.9325,1.5073,0.5793,0.4735,0.2242,0.0911,2017,600,-0.592,0.457,-0.948,0.002,0.247,-0.596,-0.854
Dominican Republic,68,5.6892,9.6649,0.8821,65.8075,0.8662,-0.1313,0.756,2020,214,3.225,-0.147,4.952,0.834,-1.73,2.357,-124.053
Dominican Republic,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019,214,-0.556,0.354,-0.93,0.052,-0.372,-0.552,-1.085
Dominican Republic,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106,2018,214,-0.571,0.393,-0.944,0.223,-0.333,-0.529,-1.1
Dominican Republic,98,4.885,0.8954,1.172,0.6682,0.5767,0.2168,0.1423,2015,214,-0.609,0.133,-0.94,0.221,0.205,-0.368,-1.234
Dominican Republic,89,5.155,1.0279,0.995,0.5767,0.5226,0.2129,0.1237,2016,214,-0.551,-0.038,-0.948,0.106,0.184,-0.451,-0.61
Dominican Republic,86,5.23,1.0794,1.4024,0.5749,0.5526,0.187,0.1139,2017,214,-0.528,0.355,-0.948,0.17,0.04,-0.494,-1.287
Bosnia and Herzegovina,69,5.6741,9.4558,0.8292,67.8081,0.6514,0.0983,0.9338,2020,70,3.134,-0.199,5.132,0.379,-0.453,3.146,-127.287
Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,70,-0.587,0.171,-0.924,-0.551,0.462,-0.973,-0.419
Bosnia and Herzegovina,93,5.129,0.915,1.078,0.758,0.28,0.216,0.0,2018,70,-0.6,0.042,-0.931,-0.407,0.201,-1.0,-0.283
Bosnia and Herzegovina,96,4.949,0.8322,0.9192,0.7908,0.0924,0.2481,0.0023,2015,70,-0.636,-0.112,-0.928,-0.804,0.379,-0.99,0.141
Bosnia and Herzegovina,87,5.163,0.9338,0.6437,0.7077,0.0951,0.2989,0.0,2016,70,-0.592,-0.378,-0.936,-0.799,0.662,-1.0,0.698
Bosnia and Herzegovina,90,5.182,0.9824,1.0693,0.7052,0.2044,0.3289,0.0,2017,70,-0.571,0.034,-0.936,-0.567,0.829,-1.0,-0.302
Moldova,70,5.6075,8.7767,0.8433,65.013,0.7216,-0.0377,0.9133,2020,498,2.837,-0.185,4.88,0.527,-1.21,3.055,-121.443
Moldova,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2019,498,-0.701,0.284,-0.933,-0.481,0.006,-1.0,0.232
Moldova,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2018,498,-0.713,0.257,-0.944,-0.509,-0.049,-1.0,0.672
Moldova,52,5.889,0.5945,1.0153,0.6183,0.3282,0.2095,0.0162,2015,498,-0.74,-0.019,-0.944,-0.305,0.165,-0.928,1.252
Moldova,55,5.897,0.6918,0.8313,0.5231,0.252,0.2,0.019,2016,498,-0.698,-0.197,-0.953,-0.467,0.112,-0.916,1.702
Moldova,56,5.838,0.7289,1.2518,0.5895,0.2407,0.2088,0.0101,2017,498,-0.681,0.21,-0.947,-0.49,0.161,-0.955,0.788
Tajikistan,71,5.5557,8.0248,0.8353,64.1046,0.8314,-0.0251,0.5921,2020,762,2.508,-0.193,4.798,0.76,-1.14,1.629,-118.383
Tajikistan,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019,762,-0.784,0.061,-0.935,-0.177,0.279,-0.361,0.347
Tajikistan,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018,762,-0.793,0.127,-0.946,-0.382,0.04,-0.849,0.614
Tajikistan,106,4.786,0.3905,0.8556,0.5738,0.4722,0.2297,0.1507,2015,762,-0.829,-0.173,-0.948,-0.0,0.277,-0.331,0.332
Tajikistan,100,4.996,0.4884,0.756,0.5312,0.4341,0.26,0.1351,2016,762,-0.786,-0.269,-0.952,-0.081,0.446,-0.4,0.655
Tajikistan,96,5.041,0.5247,1.2715,0.5292,0.4716,0.249,0.1464,2017,762,-0.771,0.229,-0.952,-0.002,0.384,-0.35,-0.28
Montenegro,72,5.5461,9.7519,0.8553,68.5053,0.6496,-0.0756,0.7831,2020,499,3.263,-0.173,5.196,0.375,-1.42,2.477,-128.57
Montenegro,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019,499,-0.541,0.315,-0.921,-0.583,-0.21,-0.645,-0.647
Montenegro,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,2018,499,-0.555,0.236,-0.934,-0.452,-0.383,-0.64,-0.446
Montenegro,82,5.192,0.9744,0.9056,0.7252,0.1826,0.1614,0.143,2015,499,-0.574,-0.125,-0.934,-0.613,-0.103,-0.365,0.038
Montenegro,88,5.161,1.0784,0.7417,0.6353,0.1511,0.1719,0.1272,2016,499,-0.529,-0.283,-0.943,-0.68,-0.044,-0.435,0.318
Montenegro,83,5.237,1.1211,1.2384,0.6675,0.195,0.1979,0.0882,2017,499,-0.51,0.197,-0.94,-0.587,0.1,-0.608,-0.61
Russia,73,5.546,10.1289,0.9032,64.1005,0.7299,-0.1512,0.8648,2020,643,3.428,-0.127,4.797,0.545,-1.841,2.84,-122.081
Russia,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019,643,-0.483,0.403,-0.934,-0.293,-0.544,-0.862,-0.699
Russia,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018,643,-0.497,0.43,-0.946,-0.155,-0.639,-0.889,-0.387
Russia,64,5.716,1.1376,1.2362,0.6693,0.3668,0.002,0.03,2015,643,-0.503,0.195,-0.939,-0.224,-0.989,-0.867,-0.02
Russia,56,5.856,1.2323,1.0526,0.5899,0.3268,0.0274,0.0359,2016,643,-0.461,0.017,-0.947,-0.308,-0.848,-0.841,0.414
Russia,49,5.963,1.2818,1.4693,0.5473,0.3738,0.0523,0.033,2017,643,-0.44,0.42,-0.951,-0.209,-0.709,-0.853,-0.3
Kyrgyzstan,74,5.5415,8.1484,0.8872,64.106,0.9094,0.1548,0.8884,2020,417,2.562,-0.142,4.798,0.925,-0.139,2.944,-119.616
Kyrgyzstan,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019,417,-0.759,0.39,-0.935,0.075,0.668,-0.898,-0.644
Kyrgyzstan,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018,417,-0.768,0.369,-0.946,0.143,0.562,-0.845,-0.529
Kyrgyzstan,77,5.286,0.4743,1.1511,0.6509,0.4348,0.3003,0.0423,2015,417,-0.793,0.113,-0.941,-0.08,0.67,-0.812,0.196
Kyrgyzstan,85,5.185,0.5604,0.9543,0.5545,0.4021,0.3843,0.0476,2016,417,-0.755,-0.078,-0.95,-0.149,1.137,-0.789,0.346
Kyrgyzstan,98,5.004,0.5962,1.3942,0.5535,0.4549,0.4286,0.0394,2017,417,-0.739,0.348,-0.95,-0.037,1.383,-0.825,-0.774
Belarus,75,5.5399,9.7799,0.9067,66.1043,0.6392,-0.1649,0.6357,2020,112,3.276,-0.124,4.978,0.353,-1.917,1.822,-124.295
Belarus,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019,112,-0.534,0.416,-0.929,-0.503,-0.477,-0.37,-0.997
Belarus,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018,112,-0.546,0.448,-0.937,-0.35,-0.438,-0.316,-0.849
Belarus,59,5.813,1.0319,1.2329,0.7361,0.3794,0.1105,0.1909,2015,112,-0.549,0.192,-0.933,-0.197,-0.386,-0.152,-0.323
Belarus,61,5.802,1.1306,1.0499,0.631,0.2909,0.1394,0.1746,2016,112,-0.506,0.015,-0.943,-0.384,-0.225,-0.225,0.108
Belarus,67,5.569,1.1566,1.4449,0.6377,0.2954,0.1551,0.1563,2017,112,-0.494,0.397,-0.942,-0.375,-0.138,-0.306,-0.841
Greece,77,5.515,10.1323,0.8144,72.4053,0.5413,-0.3009,0.8599,2020,300,3.43,-0.213,5.548,0.146,-2.673,2.818,-135.239
Greece,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2019,300,-0.484,0.117,-0.91,-0.858,-1.0,-0.849,-0.441
Greece,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044,2018,300,-0.495,0.162,-0.921,-0.723,-1.0,-0.805,-0.325
Greece,102,4.857,1.1541,0.9293,0.8821,0.077,0.0,0.014,2015,300,-0.495,-0.102,-0.92,-0.837,-1.0,-0.938,-0.237
Greece,99,5.033,1.2489,0.7547,0.8003,0.0582,0.0,0.0413,2016,300,-0.454,-0.271,-0.928,-0.877,-1.0,-0.817,0.194
Greece,87,5.227,1.2895,1.2394,0.8102,0.0957,0.0,0.0433,2017,300,-0.436,0.198,-0.927,-0.797,-1.0,-0.808,-0.57
Hong Kong,78,5.5104,10.9347,0.846,76.7717,0.7798,0.135,0.4206,2020,344,3.78,-0.182,5.943,0.651,-0.249,0.867,-144.303
Hong Kong,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019,344,-0.371,0.234,-0.899,-0.069,0.434,0.274,-2.607
Hong Kong,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018,344,-0.386,0.247,-0.907,0.109,0.368,0.292,-2.547
Hong Kong,72,5.474,1.386,1.0582,1.0133,0.5961,0.3948,0.3712,2015,344,-0.394,0.023,-0.908,0.262,1.195,0.648,-2.559
Hong Kong,75,5.458,1.5107,0.8702,0.9528,0.4808,0.401,0.3165,2016,344,-0.34,-0.159,-0.914,0.018,1.23,0.405,-2.095
Hong Kong,71,5.472,1.5517,1.2628,0.9431,0.491,0.3745,0.2939,2017,344,-0.322,0.221,-0.915,0.039,1.082,0.305,-2.723
Croatia,79,5.5047,10.0709,0.8746,70.2149,0.7148,-0.1285,0.9165,2020,191,3.403,-0.155,5.35,0.513,-1.714,3.069,-132.267
Croatia,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,191,-0.495,0.224,-0.917,-0.373,-0.338,-0.902,-0.855
Croatia,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018,191,-0.513,0.122,-0.933,-0.196,-0.333,-0.827,-0.599
Croatia,62,5.759,1.0825,0.7962,0.788,0.2588,0.0544,0.0243,2015,191,-0.527,-0.23,-0.929,-0.452,-0.698,-0.892,0.752
Croatia,74,5.488,1.1865,0.6081,0.7052,0.2391,0.1843,0.04,2016,191,-0.481,-0.412,-0.936,-0.494,0.025,-0.822,0.549
Croatia,77,5.293,1.2226,0.968,0.7013,0.2558,0.248,0.0431,2017,191,-0.466,-0.064,-0.937,-0.459,0.379,-0.809,-0.438
Libya,80,5.4888,9.7898,0.8259,62.3,0.7732,-0.0851,0.6688,2020,434,3.28,-0.202,4.634,0.637,-1.473,1.969,-118.299
Libya,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019,434,-0.544,0.259,-0.939,-0.119,-0.261,-0.325,-0.677
Libya,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018,434,-0.569,0.305,-0.95,0.05,-0.355,-0.343,-0.514
Libya,63,5.754,1.1314,1.1186,0.7038,0.4167,0.183,0.1102,2015,434,-0.505,0.081,-0.936,-0.118,0.017,-0.511,-0.352
Libya,67,5.615,1.0669,0.9508,0.523,0.4067,0.1709,0.1034,2016,434,-0.534,-0.081,-0.953,-0.139,-0.05,-0.541,0.245
Libya,68,5.525,1.1018,1.3576,0.5202,0.4657,0.1521,0.0926,2017,434,-0.518,0.312,-0.953,-0.014,-0.154,-0.589,-0.625
Mongolia,81,5.4562,9.4122,0.9371,62.3045,0.6934,0.0981,0.8635,2020,496,3.115,-0.094,4.635,0.468,-0.455,2.834,-118.392
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,496,-0.586,0.48,-0.94,-0.329,0.307,-0.831,-0.942
Mongolia,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018,496,-0.6,0.466,-0.948,-0.164,0.407,-0.858,-1.018
Mongolia,100,4.874,0.8282,1.3006,0.6027,0.4363,0.3323,0.0267,2015,496,-0.638,0.257,-0.945,-0.076,0.848,-0.881,-1.004
Mongolia,101,4.907,0.9885,1.0898,0.5547,0.3597,0.3454,0.0328,2016,496,-0.568,0.053,-0.95,-0.239,0.92,-0.854,-0.711
Mongolia,100,4.955,1.0272,1.493,0.5578,0.3941,0.3385,0.0329,2017,496,-0.551,0.443,-0.95,-0.166,0.882,-0.854,-1.451
Malaysia,82,5.3843,10.2625,0.8165,67.1022,0.8946,0.1147,0.8393,2020,458,3.487,-0.211,5.069,0.894,-0.362,2.726,-127.999
Malaysia,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019,458,-0.466,0.132,-0.925,0.075,0.446,-0.893,-1.348
Malaysia,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018,458,-0.492,0.216,-0.939,-0.246,0.729,-0.738,-0.035
Malaysia,61,5.77,1.1249,1.0702,0.7239,0.5302,0.3308,0.105,2015,458,-0.508,0.034,-0.935,0.122,0.839,-0.534,-0.705
Malaysia,47,6.005,1.2514,0.8802,0.6237,0.3903,0.4147,0.0908,2016,458,-0.453,-0.149,-0.944,-0.174,1.306,-0.597,-0.08
Malaysia,42,6.084,1.2912,1.2846,0.6188,0.4023,0.4166,0.0656,2017,458,-0.436,0.242,-0.944,-0.148,1.316,-0.709,-0.715
Vietnam,83,5.3535,8.8095,0.85,67.9527,0.9396,-0.0945,0.7964,2020,704,2.851,-0.178,5.146,0.989,-1.525,2.536,-126.736
Vietnam,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019,704,-0.676,0.301,-0.923,0.149,-0.183,-0.676,-0.993
Vietnam,95,5.103,0.715,1.365,0.702,0.618,0.177,0.079,2018,704,-0.687,0.319,-0.937,0.308,-0.016,-0.649,-0.99
Vietnam,75,5.36,0.6322,0.9123,0.7468,0.5944,0.1686,0.1044,2015,704,-0.724,-0.118,-0.932,0.258,-0.063,-0.536,0.096
Vietnam,96,5.061,0.7404,0.7912,0.6616,0.5595,0.2507,0.1156,2016,704,-0.676,-0.235,-0.94,0.184,0.394,-0.487,-0.137
Vietnam,94,5.074,0.7885,1.2775,0.6522,0.5711,0.235,0.0876,2017,704,-0.655,0.235,-0.941,0.209,0.307,-0.611,-0.946
Indonesia,84,5.2856,9.3698,0.8084,62.1558,0.8706,0.5196,0.8763,2020,360,3.096,-0.219,4.621,0.843,1.889,2.891,-119.049
Indonesia,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019,360,-0.593,0.163,-0.94,0.039,1.769,-0.876,-1.16
Indonesia,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018,2018,360,-0.607,0.174,-0.953,0.139,1.691,-0.92,-1.034
Indonesia,74,5.399,0.8283,1.0871,0.6379,0.4661,0.5154,0.0,2015,360,-0.638,0.051,-0.942,-0.013,1.866,-1.0,-0.492
Indonesia,79,5.314,0.951,0.8762,0.4937,0.3924,0.5652,0.0032,2016,360,-0.584,-0.153,-0.955,-0.169,2.142,-0.986,-0.156
Indonesia,81,5.262,0.9955,1.2744,0.4923,0.4433,0.6117,0.0153,2017,360,-0.565,0.232,-0.955,-0.062,2.401,-0.932,-1.126
Ivory Coast,85,5.2333,8.2256,0.658,49.5038,0.7279,-0.044,0.7908,2020,384,2.596,-0.364,3.477,0.541,-1.245,2.511,-94.537
Ivory Coast,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019,384,-0.751,-0.219,-0.979,-0.255,-0.144,-0.6,1.269
Ivory Coast,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018,384,-0.763,-0.157,-0.993,-0.011,-0.188,-0.543,0.989
Ivory Coast,151,3.655,0.4653,0.7712,0.1519,0.4687,0.2016,0.1792,2015,384,-0.797,-0.255,-0.986,-0.008,0.121,-0.204,-0.075
Ivory Coast,139,3.916,0.5551,0.5758,0.0448,0.4066,0.2034,0.1553,2016,384,-0.757,-0.443,-0.996,-0.139,0.131,-0.31,0.681
Ivory Coast,128,4.18,0.603,0.9048,0.0486,0.4477,0.2012,0.1301,2017,384,-0.736,-0.125,-0.996,-0.052,0.119,-0.422,0.288
Benin,86,5.216,7.6743,0.4687,54.3125,0.7352,-0.0035,0.7405,2020,204,2.355,-0.547,3.912,0.556,-1.019,2.288,-101.33
Benin,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019,204,-0.828,-0.578,-0.964,-0.261,-0.027,-0.636,1.828
Benin,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2018,204,-0.835,-0.64,-0.978,-0.069,-0.094,-0.703,1.374
Benin,155,3.34,0.2866,0.3539,0.3191,0.4845,0.1826,0.0801,2015,204,-0.875,-0.658,-0.971,0.026,0.015,-0.644,0.495
Benin,153,3.484,0.395,0.1042,0.2103,0.3975,0.2018,0.0668,2016,204,-0.827,-0.899,-0.981,-0.159,0.122,-0.703,1.191
Benin,143,3.657,0.4311,0.4353,0.2099,0.426,0.2079,0.0609,2017,204,-0.812,-0.579,-0.981,-0.098,0.156,-0.73,0.705
Maldives,87,5.1976,9.5186,0.9132,70.6,0.854,0.0381,0.8242,2020,462,3.161,-0.117,5.385,0.808,-0.788,2.659,-132.716
Congo (Brazzaville),88,5.1944,8.537,0.6402,57.9245,0.7191,-0.1237,0.7518,2020,180,2.732,-0.381,4.239,0.522,-1.688,2.338,-108.887
Congo (Brazzaville),103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019,180,-0.706,-0.228,-0.954,-0.213,-0.416,-0.587,0.562
Congo (Brazzaville),114,4.559,0.682,0.811,0.343,0.514,0.091,0.077,2018,180,-0.702,-0.216,-0.969,0.088,-0.494,-0.658,0.362
Congo (Brazzaville),139,3.989,0.6787,0.6629,0.3105,0.4147,0.1239,0.1169,2015,180,-0.703,-0.359,-0.972,-0.122,-0.311,-0.481,0.143
Congo (Brazzaville),127,4.236,0.7711,0.478,0.2821,0.3794,0.1208,0.0975,2016,180,-0.663,-0.538,-0.974,-0.197,-0.328,-0.567,0.688
Congo (Brazzaville),124,4.291,0.809,0.832,0.29,0.435,0.1209,0.0796,2017,180,-0.646,-0.196,-0.974,-0.079,-0.328,-0.647,0.014
Azerbaijan,89,5.1648,9.6877,0.8193,65.5084,0.7868,-0.2403,0.5525,2020,31,3.235,-0.208,4.925,0.665,-2.336,1.453,-123.359
Azerbaijan,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,31,-0.544,0.109,-0.93,-0.257,-0.805,-0.192,-0.67
Azerbaijan,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176,2018,31,-0.552,0.122,-0.945,-0.09,-0.828,-0.219,-0.507
Azerbaijan,80,5.212,1.0239,0.9379,0.6404,0.3703,0.078,0.1606,2015,31,-0.552,-0.093,-0.942,-0.216,-0.566,-0.287,-0.14
Azerbaijan,81,5.291,1.1237,0.7604,0.545,0.3533,0.0564,0.1791,2016,31,-0.509,-0.265,-0.951,-0.252,-0.686,-0.205,0.261
Azerbaijan,85,5.234,1.1536,1.1524,0.5408,0.3982,0.0453,0.181,2017,31,-0.496,0.114,-0.951,-0.157,-0.748,-0.196,-0.552
North Macedonia,90,5.1598,9.5106,0.8204,67.5044,0.7388,-0.0199,0.8975,2020,807,3.158,-0.207,5.105,0.564,-1.111,2.985,-127.26
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019,807,-0.57,0.251,-0.924,-0.27,0.029,-0.849,-0.858
North Macedonia,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052,2018,807,-0.581,0.198,-0.938,-0.166,-0.038,-0.769,-0.662
North Macedonia,93,5.007,0.9185,1.0023,0.7355,0.3346,0.2236,0.0533,2015,807,-0.598,-0.031,-0.933,-0.292,0.243,-0.763,-0.439
North Macedonia,95,5.121,1.0193,0.7824,0.6474,0.2767,0.2351,0.0705,2016,807,-0.554,-0.244,-0.941,-0.414,0.307,-0.687,0.069
North Macedonia,92,5.175,1.0646,1.2079,0.6449,0.3259,0.2538,0.0603,2017,807,-0.535,0.168,-0.942,-0.31,0.411,-0.732,-0.754
Ghana,91,5.148,8.3506,0.7286,57.204,0.7948,0.0942,0.848,2020,288,2.651,-0.296,4.173,0.682,-0.476,2.765,-108.219
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,288,-0.733,-0.161,-0.956,-0.194,0.362,-0.822,0.611
Ghana,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018,288,-0.741,-0.134,-0.97,0.056,0.179,-0.871,0.382
Ghana,114,4.633,0.5456,0.6795,0.4013,0.4234,0.2309,0.0436,2015,288,-0.761,-0.343,-0.964,-0.104,0.284,-0.806,0.759
Ghana,124,4.276,0.6311,0.4935,0.2968,0.4097,0.212,0.0326,2016,288,-0.724,-0.523,-0.973,-0.133,0.179,-0.855,0.816
Ghana,131,4.12,0.6672,0.8737,0.2956,0.423,0.2569,0.0253,2017,288,-0.708,-0.156,-0.973,-0.105,0.428,-0.888,-0.116
Nepal,92,5.1372,7.9254,0.7855,63.7792,0.7976,0.1542,0.7381,2020,524,2.465,-0.241,4.768,0.688,-0.143,2.277,-118.496
Nepal,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019,524,-0.805,0.185,-0.939,-0.071,0.585,-0.605,-0.357
Nepal,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018,524,-0.814,0.187,-0.951,0.113,0.679,-0.654,-0.283
Nepal,121,4.514,0.36,0.8645,0.5687,0.3828,0.323,0.0591,2015,524,-0.843,-0.164,-0.949,-0.19,0.796,-0.738,0.251
Nepal,107,4.793,0.4463,0.697,0.5007,0.3701,0.3816,0.0701,2016,524,-0.805,-0.326,-0.955,-0.217,1.122,-0.689,0.683
